,LLC-load-misses,ref-cycles,bytes,LLC-store-misses,blocks,LLC-loads,instructions,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,41560,481879511,0,274,0,3789196,315694470,443499319,216138,27.28,5.56,101.4
1,10240,504388479,339968,69,664,4431906,332912971,484511015,296642,30.09,5.25,102.0
2,120371,886716292,0,1876,0,7347640,625456128,845109771,518863,30.41,5.43,93.3
3,62676,569850917,0,232,0,4484608,377777786,525005656,242558,28.24,5.4,93.2
4,17757,506055612,28672,217,56,4243675,323290049,465672966,268620,30.53,5.25,93.2
5,42513,904155772,5275648,1086,10304,7945244,597656779,823556757,527054,31.48,5.34,93.1
6,148142,433874859,339968,11694,664,3118399,301864572,378096788,187794,27.95,5.52,93.6
7,56969,1027558347,0,15243,0,8973602,699357759,976869086,617527,32.03,5.37,107.1
8,34961,454121908,0,290,0,3911135,296168659,418931344,248182,31.69,5.41,107.3
9,198650,864975915,28672,5800,56,6932018,602719973,757116246,461232,32.18,5.61,107.3
10,170941,654281624,0,6246,0,5600345,462836307,597660024,348728,33.16,5.46,107.3
11,138106,841034951,368640,5314,720,7175293,589177788,778796269,463178,30.76,5.46,115.1
12,53057,737805902,0,542,0,6510293,473829801,681158678,425029,29.87,5.26,106.3
13,135802,614721549,0,4144,0,4670110,390088435,457720778,231921,27.49,5.48,106.8
14,167465,629627087,0,10186,0,4402149,456993361,556665806,316231,28.29,5.46,113.2
15,24348,571177071,0,336,0,4627003,367401634,530931838,302646,27.53,5.26,113.3
16,9498,560674932,139264,116,272,4597695,342233070,510499817,299961,27.25,5.13,113.0
17,5795,503314771,0,797,0,3754052,331449549,437143307,222359,25.47,5.32,113.4
18,3963,531057701,0,378,0,4597679,327524059,490693543,306058,29.91,5.29,113.2
19,125824,618126005,0,1710,0,4741067,457431250,592474210,327295,26.97,5.4,104.4
20,7770,595088594,0,552,0,4770727,372048346,559441260,287249,27.15,5.26,104.3
21,7305,559361253,139264,406,272,4440782,351388889,522289566,251432,25.56,5.18,104.5
22,7786,503379039,0,311,0,3678387,329478080,472674669,246849,25.54,5.11,104.5
23,6448,642553645,0,383,0,5240907,411913381,587053226,346405,27.99,5.18,104.3
24,19852,723541092,0,648,0,5992939,461480657,668238353,398218,28.41,5.19,104.0
25,5798,493808392,0,547,0,3860105,318855217,464858676,257350,25.75,5.24,110.9
26,19082,595088928,827392,1376,1616,4642230,387407271,554264400,310721,27.2,5.22,102.2
27,4177,491213392,0,569,0,4253585,311870691,447819696,293372,29.79,5.17,102.2
28,56462,729763994,0,7010,0,5350945,566275166,704014546,365918,28.97,5.4,101.8
29,26907,619577347,0,1133,0,4875419,400299051,577195579,343864,27.71,5.41,101.8
30,7603,555015435,0,152,0,4510691,347439083,505061023,289952,27.82,5.25,102.2
